date,close,volume,open,high,low
01.04.2021,141.7,156031,141.4,141.7,140.75
06.04.2021,143.75,179106,142.5,144.0,141.7
07.04.2021,140.5,370042,143.1,143.1,139.75
08.04.2021,142.65,133096,141.75,143.0,140.1
09.04.2021,143.0,198961,143.15,143.15,140.9
12.04.2021,141.3,119147,143.0,143.15,140.85
13.04.2021,143.15,380989,142.7,144.0,142.0
14.04.2021,142.5,147547,143.95,144.0,141.0
15.04.2021,142.1,252407,142.5,144.5,142.0
16.04.2021,141.55,111969,143.9,143.9,141.55
19.04.2021,143.5,114429,143.5,143.5,141.0
20.04.2021,145.5,1382355,144.0,150.95,144.0
21.04.2021,142.4,393145,146.1,147.55,141.2
22.04.2021,142.95,71146,143.95,143.95,141.65
23.04.2021,143.35,78489,143.2,143.5,141.75
26.04.2021,143.0,76117,144.0,144.5,142.3
27.04.2021,142.5,114812,143.0,143.5,142.0
28.04.2021,144.0,87589,142.9,144.0,142.0
29.04.2021,143.2,99270,144.35,145.95,143.2
30.04.2021,142.9,40081,144.0,144.7,142.9
03.05.2021,143.25,10489,142.95,143.9,142.95
04.05.2021,141.2,330714,143.3,143.5,141.05
05.05.2021,139.8,388420,142.8,142.8,139.7
06.05.2021,138.2,484630,139.05,139.35,137.2
07.05.2021,139.35,358950,138.4,139.35,137.0
10.05.2021,137.15,249082,139.6,140.8,136.65
11.05.2021,133.7,859044,137.75,137.75,132.95
12.05.2021,135.3,502436,133.9,135.5,133.8
13.05.2021,132.3,568513,133.0,133.0,130.4
14.05.2021,133.45,144839,133.0,134.3,132.3
17.05.2021,135.40,97808,134.00,135.4,133.3
18.05.2021,135.40,104707,135.40,135.45,134.0
