date,close,volume,open,high,low
01.04.2021,554.0,91137,550.0,555.0,550.0
06.04.2021,559.5,125554,555.0,560.0,555.0
07.04.2021,564.0,252905,559.0,564.0,558.0
08.04.2021,565.0,169916,565.0,567.0,562.5
09.04.2021,571.5,163983,567.0,573.0,566.0
12.04.2021,581.0,280469,572.0,581.0,571.5
13.04.2021,595.0,655667,582.0,600.0,581.0
14.04.2021,593.0,305512,595.0,595.0,590.0
15.04.2021,588.0,389350,593.0,594.0,580.0
16.04.2021,596.0,260382,588.0,596.0,581.5
19.04.2021,592.5,176619,594.0,596.0,584.0
20.04.2021,588.5,188502,593.0,594.5,585.0
21.04.2021,590.5,206313,586.0,590.5,585.0
22.04.2021,599.0,324843,591.5,599.0,591.5
23.04.2021,592.0,244358,597.0,599.0,591.0
26.04.2021,591.5,221290,592.5,594.5,586.0
27.04.2021,589.5,107724,591.5,591.5,589.0
28.04.2021,595.5,180369,589.0,597.5,589.0
29.04.2021,598.5,236688,598.5,603.0,597.0
30.04.2021,599.5,247766,600.0,603.0,599.0
03.05.2021,604.5,100697,601.0,605.0,600.5
04.05.2021,601.0,181319,603.0,607.5,601.0
05.05.2021,602.0,194072,601.0,604.5,599.0
06.05.2021,596.0,129299,604.0,605.0,596.0
07.05.2021,602.5,127167,596.5,603.5,596.5
10.05.2021,607.0,237076,603.0,609.5,602.0
11.05.2021,605.0,192995,604.0,605.5,592.0
12.05.2021,608.0,199334,607.0,615.0,605.0
13.05.2021,607.0,196605,608.0,612.0,607.0
14.05.2021,609.5,84860,609.0,610.0,608.0
17.05.2021,612.00,144776,610.50,615.0,610.5
