ticker,close,volume,open,high,low,barometer
BAACEZ,623.00,583817,622.00,625.0,619.5,2
BAACZGCE,429.00,26078,415.00,436.0,410.0,2
BAAERBAG,877.20,100302,858.80,881.4,855.2,0
BABKOFOL,281.00,3896,280.00,282.0,279.0,1
BAAKOMB,766.00,375035,770.00,776.0,763.0,2
BAAGECBA,78.00,4403902,78.50,79.0,78.0,2
BAATELEC,286.00,16796,290.50,290.5,286.0,2
BAAVIG,594.50,2567,595.00,595.0,590.0,0
BAATABAK,14560.00,383,14560.00,14680.0,14560.0,2
BAAPEN,75.00,6981,75.50,75.5,72.0,0
BAAAVAST,139.00,144151,138.70,140.2,138.25,2
BAASTOCK,81.20,13903,82.00,82.2,81.0,2
